100 2
1,Considine,484,2975,5,11,20
2,Gibbens,826,1721,3,14,25
3,Keady,229,2659,5,6,25
4,Iamittii,289,1547,4,9,19
5,Agg,950,1791,4,7,17
6,Briamo,686,1083,4,12,16
7,Domingues,876,1767,2,13,21
8,Thomassen,615,2147,2,13,24
9,Aleevy,401,2629,5,12,17
10,Barbisch,196,2271,5,7,18
11,McCloy,916,1684,1,11,16
12,Kinsell,283,1071,3,6,18
13,Clementucci,108,1155,5,6,21
14,Slowcock,118,1875,2,13,19
15,McKaile,160,1399,5,14,19
16,Entres,904,1273,4,10,20
17,Kaley,286,1479,4,12,20
18,Caras,390,1252,4,12,16
19,Dessant,115,1599,4,6,24
20,Seiter,734,2429,4,8,19
21,McIlwraith,802,2830,5,15,24
22,Blackboro,887,1407,5,11,25
23,Vitall,302,2951,1,12,20
24,Stove,329,2649,3,13,17
25,Laughlan,150,1966,4,8,16
26,Edmunds,848,1353,3,9,19
27,Gabbidon,862,1341,5,11,22
28,Hanrott,864,2784,5,6,19
29,Merwe,890,2060,5,11,25
30,Jullian,963,1617,1,14,25
31,Bernuzzi,668,1886,2,6,24
32,McGirl,316,1483,3,8,25
33,Tumilty,357,1318,2,15,20
34,Gunthorp,267,2542,5,10,18
35,Slack,154,2910,1,8,24
36,Fieller,885,1396,4,12,19
37,Cattenach,791,2020,3,14,23
38,Rawe,524,1626,5,9,21
39,Hayton,850,1712,3,15,19
40,Batson,786,2941,2,9,21
41,Calafate,234,2006,4,8,21
42,Cato,226,1303,5,14,17
43,Kitchingman,386,2093,2,9,24
44,Vequaud,587,1237,3,15,23
45,Sumner,545,2466,2,11,21
46,Mannagh,959,1789,1,10,18
47,Sirette,200,2711,4,12,17
48,Pidler,828,1661,4,7,18
49,Westby,465,1084,1,8,21
50,Erbain,149,1688,4,6,19
51,Leete,498,1407,3,14,25
52,Cacacie,696,1141,3,7,19
53,Fusco,511,2630,3,15,22
54,Gellately,443,1259,3,11,24
55,Antos,581,1259,5,8,23
56,Duncan,983,2734,4,10,24
57,Beirne,268,1623,1,6,21
58,Terbeek,851,3000,2,7,17
59,Rickerby,268,2096,4,12,22
60,Cahani,610,1227,5,8,22
61,Klawi,343,1100,3,13,24
62,Rucklidge,630,2759,3,15,25
63,Rablin,653,1911,2,12,18
64,Glaister,379,1769,5,6,24
65,Mathet,118,1029,1,12,23
66,Ferruzzi,969,2164,5,12,21
67,Gyse,873,2755,1,7,25
68,Philpott,187,2441,5,10,24
69,D'Antoni,751,2724,4,14,17
70,Cragoe,515,2634,5,12,18
71,Strangeways,424,1782,4,11,25
72,Scane,907,1213,1,6,22
73,Leipold,975,2435,2,13,25
74,Vanyushkin,981,2457,2,11,24
75,Flanigan,529,1902,1,15,21
76,Dryden,612,1004,5,11,19
77,Binnes,280,1663,1,9,23
78,Thaw,395,1425,2,11,22
79,Juste,348,2924,5,13,20
80,Wetherick,899,2066,1,9,20
81,Palfreman,456,1559,1,13,22
82,Cicchetto,145,3000,1,12,23
83,Poizer,724,1653,2,6,25
84,Parcell,483,2250,4,13,16
85,Singleton,694,1108,5,12,22
86,Edworthy,302,2454,2,15,16
87,Garfoot,938,1456,1,11,23
88,Armfirld,493,2752,3,6,20
89,Decort,130,1101,1,6,17
90,Perkins,994,2737,2,8,17
91,Godart,735,735,5,11,25
92,Coplestone,461,461,5,14,20
93,Siuda,982,982,4,15,22
94,Holleworth,721,1111,5,13,22
95,Vize,337,1462,1,8,25
96,Lunney,846,1018,5,11,22
97,Godball,850,2117,5,6,20
98,Capenor,735,1133,2,10,21
99,Van Halen,989,2001,1,10,19
100,Bleaden,346,2358,1,14,17
